Subject	miRNA	Mean	StdDev	SampleSize	Class
1	FX	17.9827	0.144	3	A
1	FY	14.0644	0.0993	3	A
1	FZ	11.8195	0.1243	3	A
10	FX	7.6036	0.3606	3	B
10	FY	14.7695	0.1576	3	B
10	FZ	5.9356	0.1132	3	B
100	FX	11.7296	0.1771	3	B
100	FY	17.3603	0.3249	3	B
100	FZ	8.9449	0.1724	3	B
101	FX	9.0285	0.1383	3	A
101	FY	17.7783	0.22	3	A
101	FZ	0.8154	0.2884	3	A
102	FX	11.2437	0.1446	3	B
102	FY	14.4892	0.1354	3	B
102	FZ	9.286	0.0777	3	B
103	FX	9.0991	0.268	3	A
103	FY	18.3659	0.289	3	A
103	FZ	1.6461	0.132	3	A
104	FX	8.7769	0.1408	3	C
104	FY	13.1577	0.145	3	C
104	FZ	7.4632	0.0401	3	C
105	FX	16.1698	0.0631	3	A
105	FY	17.4338	0.4075	3	A
105	FZ	10.4071	0.3629	3	A
106	FX	13.4946	0.0239	3	C
106	FY	17.8078	0.1899	3	C
106	FZ	11.1161	0.0648	3	C
107	FX	12.7349	0.0602	3	A
107	FY	11.7628	0.0733	3	A
107	FZ	4.7813	0.1274	3	A
108	FX	11.4083	0.1618	3	B
108	FY	13.839	0.3279	3	B
108	FZ	7.266	0.1604	3	B
109	FX	9.1497	0.136	3	B
109	FY	12.9024	0.44	3	B
109	FZ	8.2096	0.1627	3	B
11	FX	13.1563	0.2622	3	A
11	FY	16.5157	0.397	3	A
11	FZ	7.1386	0.1535	3	A
110	FX	12.8852	0.1586	3	C
110	FY	12.7254	0.1656	3	C
110	FZ	9.713	0.9827	3	C
111	FX	17.1588	0.2104	3	A
111	FY	14.3208	0.1505	3	A
111	FZ	11.7276	0.2822	3	A
112	FX	13.9536	0.1299	3	C
112	FY	17.1734	0.2438	3	C
112	FZ	10.087	0.2376	3	C
113	FX	15.895	0.049	3	C
113	FY	17.5506	0.1488	3	C
113	FZ	12.693	0.1602	3	C
114	FX	10.9768	0.1144	3	B
114	FY	16.6301	0.2852	3	B
114	FZ	8.5355	0.0583	3	B
115	FX	15.1551	0.1937	3	B
115	FY	17.2771	0.1526	3	B
115	FZ	13.4626	0.1975	3	B
116	FX	8.9482	0.9432	3	C
116	FY	17.5202	0.2185	3	C
116	FZ	4.8058	0.2421	3	C
117	FX	15.35	0.2062	3	C
117	FY	12.7324	0.4266	3	C
117	FZ	12.898	0.1918	3	C
118	FX	18.1268	0.4421	3	C
118	FY	14.3099	0.0745	3	C
118	FZ	15.019	0.1842	3	C
119	FX	9.232	0.1514	3	C
119	FY	15.7357	0.3716	3	C
119	FZ	6.6962	0.2659	3	C
12	FX	11.8626	0.2776	3	A
12	FY	13.8747	0.0916	3	A
12	FZ	3.6665	0.0716	3	A
13	FX	8.9582	0.3949	3	A
13	FY	18.3005	0.0418	3	A
13	FZ	1.9106	0.211	3	A
14	FX	7.308	0.2592	3	C
14	FY	14.624	0.1448	3	C
14	FZ	4.6294	0.3036	3	C
15	FX	15.5679	0.0494	3	B
15	FY	14.0795	0.1886	3	B
15	FZ	13.5552	0.207	3	B
16	FX	12.6198	0.1172	3	C
16	FY	15.1967	0.1081	3	C
16	FZ	9.9186	0.1211	3	C
17	FX	16.1708	0.237	3	A
17	FY	13.0988	0.2757	3	A
17	FZ	10.1238	0.2539	3	A
18	FX	12.7787	0.1495	3	A
18	FY	18.3467	0.1295	3	A
18	FZ	3.8581	0.2692	3	A
19	FX	12.4772	0.1811	3	C
19	FY	16.9875	0.1221	3	C
19	FZ	9.6792	0.1217	3	C
2	FX	15.4122	0.3436	3	B
2	FY	15.9242	0.178	3	B
2	FZ	12.0184	0.1351	3	B
20	FX	15.0405	0.1166	3	A
20	FY	13.0943	0.0509	3	A
20	FZ	7.9424	0.263	3	A
21	FX	11.2512	0.2457	3	A
21	FY	15.4532	0.1039	3	A
21	FZ	4.9947	0.1249	3	A
22	FX	21.1508	0.138	3	C
22	FY	14.1644	0.1657	3	C
22	FZ	17.185	0.1718	3	C
23	FX	13.2901	0.2138	3	A
23	FY	16.7751	0.0714	3	A
23	FZ	6.557	0.0808	3	A
24	FX	9.4332	0.1671	3	C
24	FY	14.4597	0.0552	3	C
24	FZ	7.0302	0.1556	3	C
25	FX	15.8821	0.3788	3	A
25	FY	12.1243	0.1438	3	A
25	FZ	10.8723	0.1	3	A
26	FX	17.6072	0.119	3	A
26	FY	14.188	0.0691	3	A
26	FZ	11.7615	0.1247	3	A
27	FX	12.0655	0.0439	3	C
27	FY	15.1326	0.3227	3	C
27	FZ	9.4127	0.1603	3	C
28	FX	14.0243	0.0781	3	A
28	FY	13.4039	0.1924	3	A
28	FZ	7.5827	0.0426	3	A
29	FX	13.7389	0.2664	3	C
29	FY	14.988	0.2269	3	C
29	FZ	11.9379	0.2413	3	C
3	FX	10.4628	0.1756	3	A
3	FY	14.3759	0.2054	3	A
3	FZ	6.0319	0.1697	3	A
30	FX	8.5024	0.0272	3	A
30	FY	15.085	0.1019	3	A
30	FZ	1.3916	1.3131	3	A
31	FX	15.3281	0.2849	3	A
31	FY	16.3282	0.2485	3	A
31	FZ	8.9393	0.1782	3	A
32	FX	11.6989	0.209	3	A
32	FY	14.9832	0.0471	3	A
32	FZ	6.4046	0.9619	3	A
33	FX	13.8959	0.1491	3	A
33	FY	13.6938	0.1601	3	A
33	FZ	9.0682	1.0865	3	A
34	FX	11.5302	0.2429	3	C
34	FY	14.934	0.1935	3	C
34	FZ	7.7722	0.364	3	C
35	FX	10.5104	0.0176	3	A
35	FY	13.3269	0.0775	3	A
35	FZ	5.1442	0.175	3	A
36	FX	6.6616	0.1213	3	A
36	FY	16.0971	0.1441	3	A
36	FZ	0.703	0.0659	3	A
37	FX	13.5555	0.0668	3	A
37	FY	15.0633	0.1372	3	A
37	FZ	7.3952	0.477	3	A
38	FX	11.6116	0.0659	3	B
38	FY	15.6905	0.1304	3	B
38	FZ	9.2903	0.3217	3	B
39	FX	9.0726	0.1852	3	A
39	FY	17.6602	0.2015	3	A
39	FZ	3.7174	0.1851	3	A
4	FX	6.628	0.1831	3	A
4	FY	17.4535	0.1875	3	A
4	FZ	0.1179	0.0274	3	A
40	FX	12.0804	0.0576	3	C
40	FY	16.0074	0.0508	3	C
40	FZ	10.4398	0.2471	3	C
41	FX	13.4139	0.14	3	A
41	FY	13.1617	0.1508	3	A
41	FZ	7.8137	0.2657	3	A
42	FX	13.069	0.2354	3	B
42	FY	13.3177	0.1979	3	B
42	FZ	9.4166	0.2504	3	B
43	FX	12.3185	0.1517	3	B
43	FY	15.4564	0.017	3	B
43	FZ	9.7727	0.2938	3	B
44	FX	18.0123	0.0613	3	A
44	FY	16.4149	0.1997	3	A
44	FZ	10.7032	0.1353	3	A
45	FX	17.1431	0.1897	3	C
45	FY	14.8295	0.0974	3	C
45	FZ	14.7777	0.02	3	C
46	FX	14.0316	0.1445	3	A
46	FY	16.4146	0.0563	3	A
46	FZ	7.9604	0.2288	3	A
47	FX	8.9715	0.2089	3	A
47	FY	14.8301	0.0864	3	A
47	FZ	1.0708	1.3649	3	A
48	FX	11.9594	0.2711	3	A
48	FY	13.6217	0.1258	3	A
48	FZ	5.06	0.3093	3	A
49	FX	9.0936	0.1806	3	A
49	FY	15.6612	0.2109	3	A
49	FZ	5.0773	0.3226	3	A
5	FX	12.9071	0.3778	3	C
5	FY	16.0769	0.2047	3	C
5	FZ	9.4269	0.1628	3	C
50	FX	15.4298	0.1456	3	C
50	FY	18.8284	0.1815	3	C
50	FZ	9.0398	0.3614	3	C
51	FX	16.493	0.214	3	A
51	FY	14.8165	1.0242	3	A
51	FZ	9.3102	0.1702	3	A
52	FX	15.7217	0.4216	3	C
52	FY	11.265	0.2697	3	C
52	FZ	13.2988	0.1078	3	C
53	FX	12.8496	0.1348	3	C
53	FY	14.5458	0.2328	3	C
53	FZ	11.2216	0.2376	3	C
54	FX	7.9857	0.1878	3	B
